  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0016                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     5.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0000   0.00561   0.00098   0.0000   0.4101   0.4104
   0.429   0.0488   0.00563   0.00099  -0.0001   0.3830   0.4347
   0.857   0.0978   0.00565   0.00101  -0.0002   0.3586   0.4613
   1.286   0.1466   0.00568   0.00104  -0.0002   0.3340   0.4883
   1.714   0.1953   0.00576   0.00110  -0.0003   0.3073   0.5127
   2.143   0.2440   0.00581   0.00115  -0.0003   0.2848   0.5418
   2.571   0.2925   0.00591   0.00123  -0.0004   0.2604   0.5684
   3.000   0.3409   0.00601   0.00133  -0.0004   0.2358   0.5965
   3.429   0.3892   0.00612   0.00143  -0.0004   0.2153   0.6251
   3.857   0.4372   0.00627   0.00156  -0.0003   0.1929   0.6533
   4.286   0.4850   0.00642   0.00170  -0.0002   0.1718   0.6830
   4.714   0.5329   0.00657   0.00185  -0.0001   0.1547   0.7123
   5.143   0.5803   0.00675   0.00203   0.0000   0.1374   0.7414
   5.571   0.6275   0.00696   0.00223   0.0002   0.1210   0.7693
   6.000   0.6745   0.00716   0.00243   0.0005   0.1071   0.7983
   6.429   0.7216   0.00737   0.00265   0.0007   0.0961   0.8237
   6.857   0.7682   0.00759   0.00289   0.0010   0.0859   0.8499
   7.286   0.8145   0.00784   0.00314   0.0013   0.0769   0.8737
   7.714   0.8605   0.00810   0.00341   0.0017   0.0694   0.8950
   8.143   0.9061   0.00839   0.00370   0.0022   0.0625   0.9143
   8.571   0.9511   0.00869   0.00400   0.0027   0.0566   0.9314
   9.000   0.9954   0.00902   0.00433   0.0034   0.0514   0.9465
   9.429   1.0391   0.00935   0.00465   0.0042   0.0476   0.9597
   9.857   1.0823   0.00968   0.00498   0.0051   0.0442   0.9711
  10.286   1.1240   0.01008   0.00536   0.0063   0.0406   0.9814
  10.714   1.1691   0.01048   0.00574   0.0066   0.0379   0.9895
  11.143   1.2167   0.01091   0.00615   0.0063   0.0354   0.9941
  11.571   1.2679   0.01143   0.00664   0.0052   0.0328   0.9959
  12.000   1.3186   0.01191   0.00710   0.0041   0.0309   0.9976
  12.429   1.3673   0.01249   0.00766   0.0033   0.0286   0.9993
  12.857   1.4083   0.01296   0.00813   0.0042   0.0275   1.0000
  13.286   1.4354   0.01342   0.00860   0.0079   0.0264   1.0000
  13.714   1.4649   0.01402   0.00919   0.0109   0.0247   1.0000
  14.143   1.4943   0.01455   0.00974   0.0138   0.0241   1.0000
  14.571   1.5234   0.01522   0.01042   0.0165   0.0231   1.0000
  15.000   1.5508   0.01605   0.01126   0.0192   0.0219   1.0000
  15.429   1.5793   0.01689   0.01213   0.0215   0.0212   1.0000
  15.857   1.6070   0.01781   0.01309   0.0237   0.0207   1.0000
  16.286   1.6321   0.01894   0.01424   0.0259   0.0200   1.0000
  16.714   1.6543   0.02032   0.01565   0.0281   0.0191   1.0000
  17.143   1.6747   0.02191   0.01728   0.0301   0.0184   1.0000
  17.571   1.6966   0.02351   0.01894   0.0317   0.0181   1.0000
  18.000   1.7151   0.02547   0.02095   0.0331   0.0177   1.0000
  18.429   1.7304   0.02781   0.02334   0.0343   0.0172   1.0000
  18.857   1.7410   0.03070   0.02630   0.0353   0.0167   1.0000
  19.286   1.7474   0.03416   0.02983   0.0358   0.0161   1.0000
  19.714   1.7514   0.03805   0.03381   0.0359   0.0157   1.0000
  20.143   1.7557   0.04216   0.03801   0.0356   0.0155   1.0000
  20.571   1.7549   0.04694   0.04290   0.0348   0.0154   1.0000
  21.000   1.7489   0.05255   0.04862   0.0335   0.0152   1.0000
