  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 23018                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     5.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1268   0.00633   0.00133  -0.0080   0.2826   0.4479
   1.000   0.2398   0.00632   0.00142  -0.0080   0.2483   0.5285
   2.000   0.3533   0.00638   0.00156  -0.0081   0.2222   0.6046
   3.000   0.4682   0.00652   0.00175  -0.0085   0.2063   0.6571
   4.000   0.5828   0.00669   0.00198  -0.0089   0.1945   0.7100
   5.000   0.6969   0.00686   0.00226  -0.0093   0.1855   0.7679
   6.000   0.8098   0.00711   0.00259  -0.0096   0.1755   0.8219
   7.000   0.9207   0.00746   0.00300  -0.0095   0.1643   0.8710
   8.000   1.0305   0.00785   0.00346  -0.0094   0.1567   0.9117
   9.000   1.1378   0.00830   0.00396  -0.0088   0.1488   0.9447
  10.000   1.2401   0.00890   0.00456  -0.0074   0.1396   0.9704
  11.000   1.3394   0.00963   0.00526  -0.0056   0.1297   0.9907
  12.000   1.4566   0.01054   0.00612  -0.0083   0.1197   0.9965
  13.000   1.5573   0.01157   0.00711  -0.0079   0.1101   1.0000
  14.000   1.6182   0.01269   0.00822   0.0002   0.1013   1.0000
  15.000   1.6903   0.01427   0.00980   0.0048   0.0923   1.0000
  16.000   1.7550   0.01642   0.01196   0.0094   0.0832   1.0000
  17.000   1.8070   0.01960   0.01515   0.0141   0.0734   1.0000
  18.000   1.8458   0.02414   0.01973   0.0181   0.0640   1.0000
  19.000   1.8689   0.03059   0.02626   0.0210   0.0559   1.0000
  20.000   1.8687   0.04012   0.03592   0.0221   0.0489   1.0000
  21.000   1.8405   0.05367   0.04969   0.0207   0.0433   1.0000
